Stage 3 Iter   100 Time:3.0e+01 # Loss:1.85e-04, Loss_r:2.83e-05, Loss_b:9.25e-05, Loss_0:6.41e-05 # Valid:1.87e-04, RL2:1.00e+00
Stage 3 Iter   200 Time:5.8e+01 # Loss:1.18e-04, Loss_r:1.57e-05, Loss_b:5.99e-05, Loss_0:4.22e-05 # Valid:1.13e-04, RL2:1.00e+00
Stage 3 Iter   100 Time:2.9e+01 # Loss:1.85e-04, Loss_r:2.83e-05, Loss_b:9.25e-05, Loss_0:6.41e-05 # Valid:1.87e-04, RL2:1.00e+00
Stage 3 Iter   200 Time:5.7e+01 # Loss:1.18e-04, Loss_r:1.57e-05, Loss_b:5.99e-05, Loss_0:4.22e-05 # Valid:1.13e-04, RL2:1.00e+00
Stage 3 Iter   300 Time:8.5e+01 # Loss:8.71e-05, Loss_r:1.15e-05, Loss_b:4.00e-05, Loss_0:3.56e-05 # Valid:8.94e-05, RL2:1.01e+00
Stage 3 Iter   400 Time:1.1e+02 # Loss:7.39e-05, Loss_r:9.20e-06, Loss_b:3.34e-05, Loss_0:3.14e-05 # Valid:7.26e-05, RL2:1.00e+00
Stage 3 Iter   500 Time:1.4e+02 # Loss:6.02e-05, Loss_r:7.42e-06, Loss_b:2.79e-05, Loss_0:2.49e-05 # Valid:6.43e-05, RL2:1.00e+00
Stage 3 Iter   600 Time:1.7e+02 # Loss:9.59e-06, Loss_r:9.59e-06, Loss_b:2.79e-05, Loss_0:2.49e-05 # Valid:6.80e-05, RL2:1.01e+00
Stage 3 Iter   700 Time:1.9e+02 # Loss:5.41e-05, Loss_r:7.37e-06, Loss_b:2.45e-05, Loss_0:2.23e-05 # Valid:5.26e-05, RL2:1.01e+00
Stage 3 Iter   800 Time:2.2e+02 # Loss:4.47e-05, Loss_r:6.14e-06, Loss_b:2.02e-05, Loss_0:1.84e-05 # Valid:4.79e-05, RL2:1.01e+00
Stage 3 Iter   900 Time:2.5e+02 # Loss:3.96e-05, Loss_r:5.18e-06, Loss_b:1.78e-05, Loss_0:1.67e-05 # Valid:4.16e-05, RL2:1.01e+00
Stage 3 Iter  1000 Time:2.8e+02 # Loss:3.53e-05, Loss_r:4.51e-06, Loss_b:1.60e-05, Loss_0:1.48e-05 # Valid:3.47e-05, RL2:1.01e+00
Stage 3 Iter  1100 Time:3.1e+02 # Loss:3.17e-05, Loss_r:4.19e-06, Loss_b:1.43e-05, Loss_0:1.32e-05 # Valid:3.42e-05, RL2:1.01e+00
Stage 3 Iter  1200 Time:3.3e+02 # Loss:4.67e-06, Loss_r:4.67e-06, Loss_b:1.43e-05, Loss_0:1.32e-05 # Valid:3.16e-05, RL2:1.00e+00
Stage 3 Iter  1300 Time:3.6e+02 # Loss:2.87e-05, Loss_r:3.89e-06, Loss_b:1.32e-05, Loss_0:1.17e-05 # Valid:2.99e-05, RL2:1.01e+00
Stage 3 Iter  1400 Time:3.9e+02 # Loss:2.58e-05, Loss_r:3.30e-06, Loss_b:1.18e-05, Loss_0:1.07e-05 # Valid:2.64e-05, RL2:1.01e+00
Stage 3 Iter  1500 Time:4.2e+02 # Loss:2.33e-05, Loss_r:2.94e-06, Loss_b:1.05e-05, Loss_0:9.86e-06 # Valid:2.33e-05, RL2:1.01e+00
Stage 3 Iter  1600 Time:4.4e+02 # Loss:2.22e-05, Loss_r:2.81e-06, Loss_b:9.77e-06, Loss_0:9.59e-06 # Valid:2.27e-05, RL2:1.01e+00
Stage 3 Iter  1700 Time:4.7e+02 # Loss:1.90e-05, Loss_r:2.42e-06, Loss_b:8.93e-06, Loss_0:7.63e-06 # Valid:2.14e-05, RL2:1.01e+00
Stage 3 Iter  1800 Time:5.0e+02 # Loss:2.66e-06, Loss_r:2.66e-06, Loss_b:8.93e-06, Loss_0:7.63e-06 # Valid:2.27e-05, RL2:1.01e+00
Stage 3 Iter  1900 Time:5.3e+02 # Loss:1.73e-05, Loss_r:2.33e-06, Loss_b:8.00e-06, Loss_0:6.94e-06 # Valid:2.03e-05, RL2:1.01e+00
Stage 3 Iter  2000 Time:5.5e+02 # Loss:1.74e-05, Loss_r:2.24e-06, Loss_b:7.84e-06, Loss_0:7.33e-06 # Valid:1.69e-05, RL2:1.01e+00
Stage 3 Iter  2100 Time:5.8e+02 # Loss:1.50e-05, Loss_r:1.98e-06, Loss_b:6.87e-06, Loss_0:6.09e-06 # Valid:1.50e-05, RL2:1.01e+00
Stage 3 Iter  2200 Time:6.1e+02 # Loss:1.40e-05, Loss_r:1.96e-06, Loss_b:6.34e-06, Loss_0:5.67e-06 # Valid:1.37e-05, RL2:1.00e+00
Stage 3 Iter  2300 Time:6.4e+02 # Loss:1.27e-05, Loss_r:1.69e-06, Loss_b:5.81e-06, Loss_0:5.17e-06 # Valid:1.30e-05, RL2:1.01e+00
Stage 3 Iter  2400 Time:6.6e+02 # Loss:1.89e-06, Loss_r:1.89e-06, Loss_b:5.81e-06, Loss_0:5.17e-06 # Valid:1.29e-05, RL2:1.02e+00
Stage 3 Iter  2500 Time:6.9e+02 # Loss:1.18e-05, Loss_r:1.57e-06, Loss_b:5.21e-06, Loss_0:5.04e-06 # Valid:1.21e-05, RL2:1.01e+00
Stage 3 Iter  2600 Time:7.2e+02 # Loss:1.12e-05, Loss_r:1.58e-06, Loss_b:4.57e-06, Loss_0:5.06e-06 # Valid:1.20e-05, RL2:1.01e+00
Stage 3 Iter  2700 Time:7.5e+02 # Loss:1.03e-05, Loss_r:1.40e-06, Loss_b:4.72e-06, Loss_0:4.18e-06 # Valid:1.06e-05, RL2:1.00e+00
Stage 3 Iter  2800 Time:7.8e+02 # Loss:9.08e-06, Loss_r:1.30e-06, Loss_b:4.20e-06, Loss_0:3.57e-06 # Valid:1.02e-05, RL2:1.01e+00
Stage 3 Iter  2900 Time:8.0e+02 # Loss:8.99e-06, Loss_r:1.21e-06, Loss_b:4.16e-06, Loss_0:3.62e-06 # Valid:9.56e-06, RL2:1.01e+00
Stage 3 Iter  3000 Time:8.3e+02 # Loss:1.27e-06, Loss_r:1.27e-06, Loss_b:4.16e-06, Loss_0:3.62e-06 # Valid:9.12e-06, RL2:1.00e+00
Stage 3 Iter  3100 Time:8.6e+02 # Loss:8.24e-06, Loss_r:1.20e-06, Loss_b:3.75e-06, Loss_0:3.30e-06 # Valid:8.32e-06, RL2:1.01e+00
Stage 3 Iter  3200 Time:8.9e+02 # Loss:7.72e-06, Loss_r:1.14e-06, Loss_b:3.42e-06, Loss_0:3.17e-06 # Valid:7.73e-06, RL2:1.00e+00
Stage 3 Iter  3300 Time:9.1e+02 # Loss:6.84e-06, Loss_r:9.65e-07, Loss_b:3.16e-06, Loss_0:2.72e-06 # Valid:7.03e-06, RL2:1.01e+00
Stage 3 Iter  3400 Time:9.4e+02 # Loss:1.56e-05, Loss_r:9.31e-07, Loss_b:7.30e-06, Loss_0:7.41e-06 # Valid:8.17e-06, RL2:1.00e+00
Stage 3 Iter  3500 Time:9.7e+02 # Loss:6.08e-06, Loss_r:8.22e-07, Loss_b:2.66e-06, Loss_0:2.59e-06 # Valid:6.30e-06, RL2:1.01e+00
Stage 3 Iter  3600 Time:9.9e+02 # Loss:9.42e-07, Loss_r:9.42e-07, Loss_b:2.66e-06, Loss_0:2.59e-06 # Valid:6.61e-06, RL2:1.01e+00
Stage 3 Iter  3700 Time:1.0e+03 # Loss:5.51e-06, Loss_r:8.05e-07, Loss_b:2.49e-06, Loss_0:2.21e-06 # Valid:5.87e-06, RL2:1.01e+00
Stage 3 Iter  3800 Time:1.1e+03 # Loss:5.16e-06, Loss_r:7.21e-07, Loss_b:2.25e-06, Loss_0:2.18e-06 # Valid:5.57e-06, RL2:1.01e+00
Stage 3 Iter  3900 Time:1.1e+03 # Loss:4.92e-06, Loss_r:6.96e-07, Loss_b:2.24e-06, Loss_0:1.99e-06 # Valid:5.17e-06, RL2:1.01e+00
Stage 3 Iter  4000 Time:1.1e+03 # Loss:4.43e-06, Loss_r:6.52e-07, Loss_b:1.93e-06, Loss_0:1.86e-06 # Valid:4.75e-06, RL2:1.02e+00
Stage 3 Iter  4100 Time:1.1e+03 # Loss:4.27e-06, Loss_r:6.33e-07, Loss_b:1.92e-06, Loss_0:1.71e-06 # Valid:4.84e-06, RL2:1.00e+00
Stage 3 Iter  4200 Time:1.2e+03 # Loss:6.32e-07, Loss_r:6.32e-07, Loss_b:1.92e-06, Loss_0:1.71e-06 # Valid:4.10e-06, RL2:1.01e+00
Stage 3 Iter  4300 Time:1.2e+03 # Loss:3.98e-06, Loss_r:6.17e-07, Loss_b:1.80e-06, Loss_0:1.56e-06 # Valid:4.24e-06, RL2:1.01e+00
Stage 3 Iter  4400 Time:1.2e+03 # Loss:3.52e-06, Loss_r:5.44e-07, Loss_b:1.57e-06, Loss_0:1.40e-06 # Valid:4.19e-06, RL2:1.01e+00
Stage 3 Iter  4500 Time:1.2e+03 # Loss:5.94e-05, Loss_r:6.23e-07, Loss_b:2.97e-05, Loss_0:2.91e-05 # Valid:4.77e-05, RL2:1.00e+00
Stage 3 Iter  4600 Time:1.3e+03 # Loss:3.27e-06, Loss_r:5.04e-07, Loss_b:1.49e-06, Loss_0:1.28e-06 # Valid:3.53e-06, RL2:1.01e+00
Stage 3 Iter  4700 Time:1.3e+03 # Loss:3.04e-06, Loss_r:4.58e-07, Loss_b:1.29e-06, Loss_0:1.30e-06 # Valid:3.23e-06, RL2:1.01e+00
Stage 3 Iter  4800 Time:1.3e+03 # Loss:4.72e-07, Loss_r:4.72e-07, Loss_b:1.29e-06, Loss_0:1.30e-06 # Valid:3.04e-06, RL2:1.00e+00
Stage 3 Iter  4900 Time:1.4e+03 # Loss:2.97e-06, Loss_r:4.50e-07, Loss_b:1.37e-06, Loss_0:1.15e-06 # Valid:3.18e-06, RL2:1.01e+00
Stage 3 Iter  5000 Time:1.4e+03 # Loss:2.74e-06, Loss_r:4.13e-07, Loss_b:1.20e-06, Loss_0:1.13e-06 # Valid:3.08e-06, RL2:1.01e+00
Stage 3 Iter  5100 Time:1.4e+03 # Loss:2.57e-06, Loss_r:3.85e-07, Loss_b:1.13e-06, Loss_0:1.05e-06 # Valid:2.78e-06, RL2:1.01e+00
Stage 3 Iter  5200 Time:1.4e+03 # Loss:2.35e-06, Loss_r:3.59e-07, Loss_b:1.01e-06, Loss_0:9.80e-07 # Valid:2.70e-06, RL2:1.00e+00
Stage 3 Iter  5300 Time:1.5e+03 # Loss:2.41e-06, Loss_r:3.79e-07, Loss_b:1.04e-06, Loss_0:9.93e-07 # Valid:2.39e-06, RL2:1.01e+00
Stage 3 Iter  5400 Time:1.5e+03 # Loss:3.84e-07, Loss_r:3.84e-07, Loss_b:1.04e-06, Loss_0:9.93e-07 # Valid:2.40e-06, RL2:1.01e+00
Stage 3 Iter  5500 Time:1.5e+03 # Loss:2.12e-06, Loss_r:3.20e-07, Loss_b:9.61e-07, Loss_0:8.35e-07 # Valid:2.46e-06, RL2:1.00e+00
Stage 3 Iter  5600 Time:1.5e+03 # Loss:2.03e-06, Loss_r:3.25e-07, Loss_b:8.77e-07, Loss_0:8.29e-07 # Valid:2.58e-06, RL2:1.02e+00
Stage 3 Iter  5700 Time:1.6e+03 # Loss:1.89e-06, Loss_r:3.11e-07, Loss_b:8.40e-07, Loss_0:7.39e-07 # Valid:2.06e-06, RL2:1.01e+00
Stage 3 Iter  5800 Time:1.6e+03 # Loss:1.77e-06, Loss_r:3.03e-07, Loss_b:7.58e-07, Loss_0:7.11e-07 # Valid:1.83e-06, RL2:1.01e+00
Stage 3 Iter  5900 Time:1.6e+03 # Loss:1.74e-06, Loss_r:2.85e-07, Loss_b:7.90e-07, Loss_0:6.65e-07 # Valid:1.93e-06, RL2:1.01e+00
Stage 3 Iter  6000 Time:1.7e+03 # Loss:2.86e-07, Loss_r:2.86e-07, Loss_b:7.90e-07, Loss_0:6.65e-07 # Valid:1.80e-06, RL2:1.01e+00
Stage 3 Iter  6100 Time:1.7e+03 # Loss:1.65e-06, Loss_r:2.74e-07, Loss_b:7.24e-07, Loss_0:6.55e-07 # Valid:1.67e-06, RL2:1.01e+00
Stage 3 Iter  6200 Time:1.7e+03 # Loss:1.43e-06, Loss_r:2.47e-07, Loss_b:6.30e-07, Loss_0:5.51e-07 # Valid:1.56e-06, RL2:1.01e+00
Stage 3 Iter  6300 Time:1.7e+03 # Loss:1.40e-06, Loss_r:2.47e-07, Loss_b:5.69e-07, Loss_0:5.81e-07 # Valid:1.63e-06, RL2:1.01e+00
Stage 3 Iter  6400 Time:1.8e+03 # Loss:1.36e-06, Loss_r:2.33e-07, Loss_b:5.72e-07, Loss_0:5.51e-07 # Valid:1.48e-06, RL2:1.01e+00
Stage 3 Iter  6500 Time:1.8e+03 # Loss:1.30e-06, Loss_r:2.25e-07, Loss_b:5.59e-07, Loss_0:5.17e-07 # Valid:1.36e-06, RL2:1.01e+00
Stage 3 Iter  6600 Time:1.8e+03 # Loss:2.10e-07, Loss_r:2.10e-07, Loss_b:5.59e-07, Loss_0:5.17e-07 # Valid:1.36e-06, RL2:1.00e+00
Stage 3 Iter  6700 Time:1.9e+03 # Loss:1.23e-06, Loss_r:2.14e-07, Loss_b:5.39e-07, Loss_0:4.76e-07 # Valid:1.31e-06, RL2:1.01e+00
Stage 3 Iter  6800 Time:1.9e+03 # Loss:1.12e-06, Loss_r:1.94e-07, Loss_b:4.76e-07, Loss_0:4.49e-07 # Valid:1.22e-06, RL2:1.01e+00
Stage 3 Iter  6900 Time:1.9e+03 # Loss:1.22e-06, Loss_r:1.80e-07, Loss_b:5.07e-07, Loss_0:5.31e-07 # Valid:1.27e-06, RL2:1.01e+00
Stage 3 Iter  7000 Time:1.9e+03 # Loss:9.82e-07, Loss_r:1.75e-07, Loss_b:4.19e-07, Loss_0:3.88e-07 # Valid:1.11e-06, RL2:1.00e+00
Stage 3 Iter  7100 Time:2.0e+03 # Loss:2.03e-06, Loss_r:1.66e-07, Loss_b:1.04e-06, Loss_0:8.27e-07 # Valid:1.31e-06, RL2:1.01e+00
